,OBRA : JARDIN A CREAR PUJOL,,,,,,,,
,UBICACIÓN:  - PUJOL - CORRIENTES,,,,,,,,
,PRES. CONTRACTUAL,,"$256,906,886.50",,,,,,
,FACTURA,CERTIFICADO,MONTO,%,EXPEDIENTE,UBICACIÓN,,,
,3718,ANTICIPO FINANCIERO,"$51,381,377.30",20.00%,S/EXPTE. NACION,COBRADO,COMPLEJO DEPORTIVO DEL CENTRO POLICIAL - SANTA CATALINA,,
,3767,CERTIF N°1,"$1,857,653.19",0.72%,S/EXPTE. NACION,COBRADO,COMPLEJO DEPORTIVO DEL CENTRO POLICIAL - SANTA CATALINA,,
,3823,CERTIF N°2,"$7,935,096.22",3.09%,S/EXPTE. NACION,COBRADO,COMPLEJO DEPORTIVO DEL CENTRO POLICIAL - SANTA CATALINA,,
,3874,CERTIF N°3,"$1,579,627.51",0.61%,S/EXPTE. NACION,COBRADO,,,
,3903,CERTIF N°4,"$5,172,878.89",2.01%,S/EXPTE. NACION,COBRADO,,,
,3937,CERTIF N°5,"$7,295,392.98",2.84%,S/EXPTE. NACION,COBRADO,,,
,3983,CERTIF N°6,"$22,183,082.86",8.63%,S/EXPTE. NACION,COBRADO,,,
,4032,CERTIF N°7,"$25,395,715.40",9.89%,S/EXPTE. NACION,COBRADO,COMPLEJO DEPORTIVO DEL CENTRO POLICIAL - SANTA CATALINA,,
,4074,CERTIF N°8,"$40,859,232.65",15.90%,S/EXPTE. NACION,COBRADO,COMPLEJO DEPORTIVO DEL CENTRO POLICIAL - SANTA CATALINA,,
2/13/23,4116,CERTIF N°9,"$7,832,264.95",3.05%,S/EXPTE. NACION,COBRADO,COMPLEJO DEPORTIVO DEL CENTRO POLICIAL - SANTA CATALINA,,
3/13/23,4154,CERTIF N°10,"$7,292,265.32",2.84%,S/EXPTE. NACION,COBRADO,COMPLEJO DEPORTIVO DEL CENTRO POLICIAL - SANTA CATALINA,,
5/9/23,4220,CERTIF N°11,"$38,919,128.47",15.15%,S/EXPTE. NACION,COBRADO,COMPLEJO DEPORTIVO DEL CENTRO POLICIAL - SANTA CATALINA,,
6/7/23,4265,CERTIF N°12,"$20,163,881.25",7.85%,S/EXPTE. NACION,COBRADO,COMPLEJO DEPORTIVO DEL CENTRO POLICIAL - SANTA CATALINA,,
,4303,CERTIF N°13,"$19,039,289.50",7.41%,S/EXPTE. NACION,COBRADO,,,
,,,"$256,906,886.50",100.00%,,,,,
,OBRA : JARDIN A CREAR PUJOL,,,,,,,,
,FACTURA,REDETERMIN.,MONTO,,EXPEDIENTE,UBICACIÓN,,,
,,REDET   N°1," $ 218,524,980.97 ",,,,,,
,,REDET   N°2," $ 59,379,850.27 ",,,,,,
,,REDET   N°3," $ 53,880,955.10 ",,,,,,
,,REDET   N°4," $ 125,357,927.59 ",,,,,,
,ADJUDICACION DIRECTA 140/24-TRABAJOS COMPLEMT. EN JIN A CREAR - PUJOL  (ADIC. RELLENO),,,,MONTO,"$ 68,720,015.95",OFICINA DE NORMA NO HAY CONTRATO,,
,FECHA,MONTO,AVANCE,Nro FAC,NRO.EXPTE,observaciones,,,
,12/16/24,"$ 68,720,015.95",100.00%,,320-2035/25,COBRADO,,,
,TRABAJOS COMPLEMT. EN JIN A CREAR - PUJOL  (ADICIONLA MURO DE CONTENCION),,,,MONTO,"$ 50,996,300.17",A LA ESPERA DE APROBACION DE NACION,,
,FECHA,MONTO,AVANCE,Nro FAC,NRO.EXPTE,observaciones,,,
,12/16/24,"$ 50,996,300.17",100.00%,4304,"NO TIENE EXTE, CERT. NACION",,,,
