N° EXP.,BASICO/ JUN 24,N°," CORDÓN CUNETA - RIPIO Y BADÉN - LIMP. Y EJEC. DES 
PL P/40 VIV - LA CRUZ ",100.00%,COBRADO, MONTO DE CONTRATO 
,,,,,," $ 401,529,577.80 "
CERTIFICADOS DE OBRA,,,,,,
,CERTIFICADO,1," $ 50,611,477.73 ",ENERO,NO,
,CERTIFICADO,2," $ 46,680,405.19 ",FEBRERO,NO,
,CERTIFICADO,3," $ 129,948,585.18 ",MARZO,NO,
,CERTIFICADO,4," $ 69,157,319.77 ",ABRIL,,
4360/25,CERTIFICADO,5," $ 3,497,874.97 ",MAYO,,
4585/25,CERTIFICADO,6," $ 5,504,175.32 ",JUNIO,,
5344/25,CERTIFICADO,7," $ 58,557,625.05 ",JULIO,,
6563/25,CERTIFICADO,8," $ 37,572,114.59 ",AGOSTO,,
321-2026,CERTIFICADO,9A," $ 61,351,226.52 ",DICIEMBRE,,REDETERMINAIION
