N° EXP.,BASICO/ SEP 24,N°, NUEVA COMISARIA - EL CAIMAN - SAN MIGUEL ,99.05%,COBRADO, MONTO DE CONTRATO 
,,,,,," $ 368,575,207.89 "
CERTIFICADOS DE OBRA,,,,,,
3156/25,CERTIFICADO,1," $ 9,435,564.88 ",ABRIL,NO,
3969/25,CERTIFICADO,2," $ 25,227,768.45 ",MAYO,NO,
4418/25,CERTIFICADO,3," $ 8,388,978.65 ",JUNIO,NO,
5175/25,CERTIFICADO,4," $ 59,059,172.88 ",JULIO,,
6051/25,CERTIFICADO,5," $ 6,870,721.46 ",AGOSTO,,
6610/25,CERTIFICADO,6," $ 92,336,377.83 ",SEPTIEMBRE,,
7239/25,CERTIFICADO,7," $ 10,014,963.44 ",OCTUBRE,,
7657-2025,CERTIFICADO,8," $ 26,284,938.47 ",NOVIEMBRE,,
344-2026,CERTIFICADO,9," $ 70,155,173.22 ",DICIEMBRE,,
,CERTIFICADO,10," $ 602,856.58 ",ENERO,,
,CERTIFICADO,11," $ 2,607,960.24 ",FEBRERO,,
,ADICIONAL N°1,1," $ 24,513,127.48 ",FEBRERO,,
