N° EXP.,BASICO/ DIC 24,N°," RED DE AGUA + TANQUE - RED DE CLOACA + EST ELEV Y NEXO DE IMP - CORDON CUNETA, RIPIO Y BADEN P/15 VIV ",100.00%,COBRADO, MONTO DE CONTRATO 
,,,,,," $ 629,203,929.33 "
CERTIFICADOS DE OBRA,,,,,,
3991/25,CERTIFICADO,1," $ 218,642,795.02 ",MAYO,NO,
4721/25,CERTIFICADO,2," $ 69,433,947.34 ",JUNIO,NO,
5260/25,CERTIFICADO,3," $ 145,098,386.79 ",JULIO,NO,
6050-2025,CERTIFICADO,4," $ 44,097,509.78 ",AGOSTO,,
,CERTIFICADO,5, $ -   ,SEPTIEMBRE,,
,CERTIFICADO,6, $ -   ,OCTUBRE,,
7732-2025,CERTIFICADO,7," $ 57,550,701.00 ",NOVIEMBRE,,
319-2026,CERTIFICADO,8A," $ 33,281,608.92 ",DICIEMBRE,,
