N° EXP.,BASICO/ SEP 24,N°, CONST. TINGLADO P/DEPÓSITO - ANFITEATRO COCOMAROLA - CAPITAL ,100.00%,COBRADO, MONTO DE CONTRATO 
,,,,,," $ 316,625,774.43 "
CERTIFICADOS DE OBRA,,,,,,
3222/25,CERTIFICADO,1,,FEBRERO,SI,
3222/25,CERTIFICADO,2," $ 28,291,295.83 ",MARZO,NO,
3222/25,CERTIFICADO,3," $ 27,378,696.79 ",ABRIL,NO,
3992/25,CERTIFICADO,4," $ 3,873,754.84 ",MAYO,NO,
4591/25,CERTIFICADO,5," $ 9,203,645.00 ",JUNIO,NO,
5177/25,CERTIFICADO,6," $ 925,819.00 ",JULIO,NO,
6198-2025,CERTIFICADO,7," $ 7,282,903.73 ",AGOSTO,NO,
6609-2025,CERTIFICADO,8," $ 10,560,210.40 ",SEPTIEMBRE,NO,
7326-2025,CERTIFICADO,9," $ 27,419,770.11 ",OCTUBRE,,
