N° EXP.,BASICO/ DIC 24,N°, NUEVO POLIDEPORTIVO - CONCEPCIÓN ,92.00%,COBRADO, MONTO DE CONTRATO 
,,,,,," $ 565,642,500.64 "
CERTIFICADOS DE OBRA,,,,,,
3313/25,ANTICIPO,0," $ 84,846,375.10 ",JUNIO,NO,
5239/25,ANTICIPO,0," $ 56,564,250.06 ",JULIO,NO,
6909/25,CERTIFICADO,1," $ 268,803,904.38 ",SEPTIEMBRE,NO,
7237/25,CERTIFICADO,2," $ 51,882,104.53 ",OCTUBRE,,
7658-2025,CERTIFICADO,3," $ 60,647,034.58 ",NOVIEMBRE,,
280-2026,CERTIFICADO,4," $ 51,320,798.17 ",DICIEMBRE,,
747-2026,CERTIFICADO,5," $ 281,509.84 ",ENERO,,
,CERTIFICADO,6," $ 7,889,194.17 ",FEBRERO,,
