N° EXP.,BASICO/ DIC 24,N°, CLUB SPORTIVO CORRIENTES - CAPITAL ,10.00%,COBRADO, MONTO DE CONTRATO 
,,,,,," $ 151,067,789.97 "
CERTIFICADOS DE OBRA,,,,,,
5240/25,ANTICIPO,0," $ 15,106,779.00 ",JULIO,NO,
5988/25,CERTIFICADO ,1," $ 19,907,704.17 ",AGOSTO,NO,
6659/25,CERTIFICADO ,2," $ 7,566,120.04 ",SEPTIEMBRE,NO,
7236/25,CERTIFICADO ,3," $ 19,679,019.20 ",OCTUBRE,,
7660-2025,CERTIFICADO ,4," $ 9,563,956.51 ",NOVIEMBRE,,
317-2026,CERTIFICADO ,5," $ 11,777,491.27 ",DICIEMBRE,,
767-2026,CERTIFICADO ,6," $ 3,914,720.77 ",ENERO,,
,CERTIFICADO ,7," $ 7,346,508.05 ",FEBRERO,,
,ADICIONAL N°1,1," $ 29,828,716.42 ",FEBRERO,,
