OBRA: AMPLIACION Y REFUNCIONALIZACION DEL COLEGIO SECUNDARIO Y JARDIN ANEXO EN ESCUELA N° 413,,,,,,,
OBRA: Ampliación y  Refuncionalización Colegio Secundario Amado Bonpland - Jardín Anexo en Escuela Nº413,,,,,"$ 262,087,918.74",MONTO REDETERMINADO,
OBRA BASICA ,"$ 262,087,918.74",,,,,,
FECHA,MONTO,AVANCE,Nro FAC,NRO.EXPTE,observaciones,#REF!,
CERT. ANTICIPO 20%,"$ 52,417,583.75",,SI,COBRADO,,,
CERT. N° 1 ,"$ 2,157,729.49",1.02%,SI,COBRADO,,,
CERT. N° 2,"$ 5,157,392.65",3.49%,SI,COBRADO,,,
CERT. N° 3,"$ 10,007,344.93",8.26%,SI,COBRADO,,,
CERT. N° 4,"$ 13,084,934.66",14.50%,SI,COBRADO,,,
CERT. N° 5,"$ 15,099,655.28",21.70%,SI,COBRADO,,,
CERT. N° 6,"$ 22,588,044.99",32.48%,SI,COBRADO,,,
CERT. N° 7,"$ 19,954,418.15",41.99%,SI,COBRADO,,,
CERT. N° 8,"$ 19,588,748.28",51.34%,SI,COBRADO,,,
CERT. N° 9,"$ 25,203,086.92",63.36%,SI,COBRADO,,,
CERT. N° 10,"$ 7,598,738.95",66.98%,SI,COBRADO,,,
CERT. N° 11,"$ 10,179,711.93",71.84%,SI,COBRADO,,,
CERT. N° 12,"$ 10,475,132.31",76.83%,SI,COBRADO,,,
CERT. N° 13 - ABR-25,"$ 8,419,288.73",80.85%, SI ,COBRADO,,,
CERT. N° 14 - MAY-25,"$ 4,391,303.85",82.94%, SI ,COBRADO,,,
CERT. N° 15 - JUN-25,"$ 4,742,653.87",85.20%, SI ,COBRADO,,,
CERT. N° 16 - JUL-25,"$ 11,260,140.70",90.57%, SI ,COBRADO,,,
CERT. N° 17 - AGO-25,"$ 2,306,088.69",91.67%, SI ,COBRADO,,,
CERT. N° 18 - SEP-25,"$ 8,625,544.09",95.79%, SI ,11/14/25,,,
CERT. N° 19 - OCT-25,"$ 8,685,319.96",99.93%,NO,,,,
CERT. N° 20 - NOV-25,"$ 145,056.57",100.00%,NO,LENY TIENE EN UCP,12/10/25,,
total,"$ 262,087,918.74",,,,,,
