LICITACION PRIVADA N° 9/25,,,,,,
GEC S.A. - CUARTEL DE BOMBEROS FORESTALES - OBRA NUEVA 5TA ETAPA (1345),,,,,,
, ITUZAINGO - CORRIENTES,"$ 1,035,429,615.47",DPO,180 DIAS,,
34.93%,CERTIFICADO 1,"$ 361,644,501.84",Nov-25,140-3473/25,El expediente número: 106140000-003473/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de UCAPFI MINISTERIO dependencia de MINISTERIO DE HACIENDA Y FINANZAS con fecha de pase 12-12-2025 y hora 11:30 AM,
65.78%,CERTIFICADO 2,"$ 319,461,099.25",Dec-25,140-3503/25,El expediente número: 106140000-003503/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de UCAPFI MINISTERIO dependencia de MINISTERIO DE HACIENDA Y FINANZAS con fecha de pase 12-12-2025 y hora 11:30 AM,
,TOTAL,"$ 681,105,601.09",,,,
,PENDIENTE,"$ 354,324,014.38",,,,
,REDETERMINACION DE OBRA N° BASICO ENERO - 2025,$ 0.00,Jun-25,140-1999/25,,
34.93%,"CERTIFICADO DE REDETERMINACION N° 1, AVANCE BASADO EN EL CERTIFICADO DE OBRA N° 1",$ 0.00,Jul-25,140-2201/25,,
65.78%,"CERTIFICADO DE REDETERMINACION N° 2, AVANCE BASADO EN EL CERTIFICADO DE OBRA N° 2",$ 0.00,Jul-25,140-2203/25,,
100.00%,"CERTIFICADO DE REDETERMINACION N° 3, AVANCE BASADO EN EL CERTIFICADO DE OBRA N° 3",$ 0.00,Aug-25,140-2554/25,,
,,$ 0.00,,,,
,PENDIENTE,$ 0.00,,,,
,SALDO,,,,,
