LICITACION PRIVADA N° 02/2023,,,,,,,,,,
UBICACIÓN: PASO DE LOS LIBRES - PROVINCIA DE CORRIENTES,,,,,,,,,,
OBRA: RED DE GAS NATURAL PARA EL PARQUE INDUSTRIAL- PASO DE LOS LIBRES- ,,,,,,,,,,
FECHA,FACT.,N°,MONTO,CERTIFICADOS - ANTICIPO - OBRA,% AVANCE,EXPTE,UBICACIÓN EXTE,COBRADO,ESTADO DE EXPTE.,DESDE EL DIA
,,," $ 54,414,254.56 ",Anticipo,20.00%,,,,,
,,," $ 5,668,034.19 ",Redet. Def.,,150-00102/24,,,,
,,," $ 3,302,229.12 ",Certi.N°1,1.52%,150-00120/24,,,,
,,," $ 75,294,353.51 ",Redet. N°1,,,,,,
,,," $ 2,760,523.39 ",Certi.N°2,2.79%,150-00207/24,,,,
,,," $ 10,579,089.05 ",Redet. N°2,,150-00292/24,,,,
,,," $ 1,477,986.29 ",Certi.N°3,3.46%,150-00297/24,,,,
,,," $ 10,728,697.82 ",Certi.N°4,8.42%,150-00355/24,,,,
,,," $ 63,400,304.87 ",Certi.N°5,37.55%,150-00458/24,,,,
,,," $ 39,032,757.28 ",Certi.N°6,55.48%,,,,,
,,," $ 25,706,326.92 ",Certi.N°7,67.29%,,,,,
,,," $ 14,969,079.10 ",Certi.N°8,74.17%,,,,,
,,," $ 136,734,359.89 ",Redet. N°3,,150-00531/24,,,,
,,," $ 93,127,133.84 ",Redet. N°4,,150-00600/24,,,,
,,," $ 16,245,513.85 ",Certi. N°9,81.63%,150-00734/24,,,,
,,," $ 20,379,506.11 ",Certi. N°10,90.99%,,,,,
,,,,Redet. N°5,,,,,,
,,,"$17,941,928.01",Certi. N°11,99.24%,,,,,
,,," $ 44,218,159.45 ",Redet. N°6,,,,,,
,,," $ 1,658,165.50 ",Certi. N°12,100.00%,,,,,
,,," $ 6,698,815.99 ",Redet. N°7,,150-00400/25,,,,
