CONTRATISTA:  UT  IV  GEC S.A.- CONCRET LIBRES S.A.,,,,
OBRAS:CERCO PERIMETRAL EN PARQUE INDUST. CURUZU CUATIA,,,,
PRESUPUESTO:," $ 845,990,728.73 ",,,
FACTURADO,MONTO,CERTIFICADO,EXPEDIENTE,UBICACIÓN
SI,"$ 253,797,218.62", ANTIC. FINANC.,180-242/25,COBRADO
SI,"$ 52,599,043.62",CERTIF 1,180-242/25,COBRADO
SI,"$ 137,036,593.64",CERTIF 2 ,180-242/25,COBRADO
SI,"$ 29,016,641.77",CERTIF 3,180-242/25,COBRADO
SI,"$ 191,125,297.61",CERTIF 4,180-379/25,COBRADO
SI,"$ 114,645,362.46",CERTIF 5,180-540/25,COBRADO
SI,"$ 67,770,571.01",CERTIF 6 FINAL,180-895/25,COBRADO
TOTAL OBRA BASICA:,"$ 845,990,728.73",,,
