"OBRA: TERCERA ETAPA- EXTERIOR - VIAL, ESTACIONAMIENTOS, ILUM. Y PARQUIZADO - PARQUE TECNOLOGICO UNNE - RUTA NAC.12 - CTES.",,,,,,,,
"OBRA: TERCERA ETAPA- EXTERIOR - VIAL, ESTACIONAMIENTOS, ILUM. Y PARQUIZADO - PARQUE TECNOLOGICO UNNE - RUTA NAC.12 - CTES.",,,,,,,,
OBRA BASICA ,"$ 967,889,102.62",,,,,,,
NRO.EXPTE,CERTIF.,MONTO,AV. ACUM,Nro FAC,OBSERVACIONES,,,
180-473/25, A.F.,"$ 290,366,730.79",30.00%,7-4354,COBRADO,,,
180-532/25,1,"$ 237,421,544.51",34.84%,7-4423,COBRADO,,,
180-690/25,2,"$ 181,085,855.27",61.77%,7-4443,COBRADO,,,
180-897/25,3,"$ 52,153,822.40",68.50%,7-4514,COBRADO,,,
180-1068/25,4 FINAL,"$ 206,861,149.65",100.00%,,"en la oficina MESA DE ENTRADAS de MIN. DE INDUSTRIA, TRABAJO Y COMERCIO. dependencia de MINISTERIO DE INDUSTRIA,TRABAJO Y COMERCIO con fecha de pase 28-08-2025 ",,,
NRO.EXPTE,ADICIONAL,MONTO,,Nro FAC,OBSERVACIONES,,,
,1,"$ 179,263,209.51",,,PRESENTADO,,,
REDETERMINCAION DE PRECIO,,,,,,,,
NRO.EXPTE,REDET. DE PRECIO,MONTO,,Nro FAC,OBSERVACIONES,,,
,SOLICT. 1,,,,PRESENTADO 16/08/25     DE BASICO MARZO25 A JULIO25 (5%),,,
