"OBRA: CONSTRUCCION DE JUZGADO DE PAZ DE YAPEYU CORRIENTES - MONTO DE CONTRATO $ 379.096.238,60 - 240 DIAS",,,,,,,,
FECHA,CERTIFICADOS - ANTICIPO - OBRA,FACTURA,MONTO,EXPTE,UBICACIÓN EXTE,COBRADO,,
Nov-24,CERTIFICADO ANTICIPO FINANCIERO,SI,"$75,819,247.72",09-1011-2024,COBRADO,SI,,
Dec-24,CERTIFICADO Nº1,SI,"$7,703,872.79",09-62-2025,COBRADO,SI,,0.2
Jan-25,CERTIFICADO Nº2,SI ,"$21,280,812.96",09-63-2025,COBRADO,SI,,"$379,096,238.60"
Feb-25,CERTIFICADO Nº3,SI,"$30,470,043.05",,COBRADO,SI,,
Mar-25,CERTIFICADO Nº4,SI,"$35,475,884.34",09-10278-25,COBRADO,SI,,"$75,819,247.72"
Apr-25,CERTIFICADO Nº5,SI,"$33,739,266.83",09-10384-2025,COBRADO,SI,,
May-25,CERTIFICADO Nº6,SI,"$41,136,110.64",,COBRADO,SI,,
Jun-25,CERTIFICADO Nº7,SI,"$59,212,927.07",,COBRADO,SI,,
Jul-25,CERTIFICADO Nº8,NO,"$74,258,073.20",,COBRADO,SI,,
Feb-25,REDETERMINACION DE PRECIOS Nº1- CORRESPONDIENTE A LOS CERT. 1-2-3-4,SI,"$10,446,904.70",CA- 58-2025,COBRADO,SI,,
Apr-25,REDETERMINACION DE PRECIOS Nº1- CORRESPONDIENTE A LOS CERT. 5,SI,"$3,712,886.87",09-10439-2025,COBRADO,SI,,
May-25,REDETERMINACION DE PRECIOS Nº1- CORRESPONDIENTE A LOS CERT. 6,SI,"$4,525,590.22",09-10439-2026,COBRADO,SI,,
Jun-25,REDETERMINACION DE PRECIOS Nº1- CORRESPONDIENTE A LOS CERT. 7,SI,"$6,516,048.93",09-10439-2027,COBRADO,SI,,
Jul-25,REDETERMINACION DE PRECIOS Nº1- CORRESPONDIENTE A LOS CERT. 8,NO,"$8,173,129.04",,COBRADO,SI,,
,,TOTAL ,"$ 412,470,798.36",,,,,
,,,"$304,838,165.40",,,,,
,,,"$74,258,073.20",,,,,
,,,"$33,374,559.76",,,,,
,,,"$25,201,430.72",,,,,
,,,"$8,173,129.04",,,,,
