OBRA: ENRIPIADO Y OBRAS COMPLEMENTARIAS - PRIMERA ETAPA - PARQUE INDUSTRIAL CURUZU CUATIA                                           ,,,,
GEC,"$ 178,701,653.87",CERTIF ANTIC FINANC,180-1159/24,COBRADO
GEC,"$ 55,091,925.40",CERTIF 1,180-1289/2024,COBRADO
GEC,"$ 43,325,223.02",CERTIF 2,180-1465/2024,COBRADO
GEC,"$ 30,679,433.65",CERTIF 3,180-1600/2024,COBRADO
GEC,"$ 43,206,715.25",CERTIF 4,180-034/25,cobrado
GEC,"$ 55,733,996.86",CERTIF 5,180-105/2025,COBRADO
GEC,"$ 42,672,400.94",CERTIF 6,180-254/25,COBRADO
GEC,"$ 81,752,497.42",CERTIF 7,180-380/25,COBRADO
GEC,"$ 165,239,635.39",CERTIF 8 ,180-894/25,COBRADO
GEC,,CERTIF ADENDA N°1 (ADIC),,
,"$ 696,403,481.80",,,
