GEC S.A.,,,,,,,,,,,,,,
MOySP - UNIDAD DE ARQUITECTURA HOSPITALARIA ,,,,,,,,,,MONTO CONTRATO $ 325.940.769.50,,,,"$ 325,940,769.50"
CERTIFICADOS DE OBRA - HOSPITAL ROBINSON 2DA ETAPA - MONTE CASEROS - CORRIENTES,,,,,,,,,,,,,,15.03%
CERTIF.  N°,MES, MONTO  ,EXTE Nº,UBICACIÓN,UBICACIÓN,UBICACIÓN ,,FACT.,% AVANCE,UBICACIÓN EXTE-,,,,"$ 48,988,897.66"
ANTICIPO FINANCIERO,,,,,,,,,,,,,,
CERTIFICADO DE OBRA N° 1,ENERO," $ 889,796.15 ",140-0747/24,,,,,3877,SI,El expediente número: 106140000-000747/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 26-04-2024 y hora 11:04 AM,,,,
CERTIFICADO DE OBRA N° 2,FEBRERO," $ 574,753.87 ",140-0748/24,,,,,3876,SI,El expediente número: 106140000-000748/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 26-04-2024 y hora 11:04 AM,,,,
CERTIFICADO DE REDET. N° 1 - AVANCE BASADO EN CERT. DE OBRA N° 2,FEBRERO," $ 2,399,399.20 ",140-0749/24,,,,,3875,SI,El expediente número: 106140000-000749/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 26-04-2024 y hora 11:04 AM,,,,
CERTIFICADO DE OBRA N° 3,MARZO," $ 3,069,425.34 ",140-1447/24,,,,,3919,SI,El expediente número: 106140000-001447/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 29-05-2024 y hora 11:05 AM,,,,
CERTIFICADO DE REDET. N° 2 - AVANCE BASADO EN CERT. DE OBRA N° 3,MARZO," $ 5,032,536.75 ",140-1448/24,,,,,3916,SI,El expediente número: 106140000-001448/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 27-05-2024 y hora 12:05 PM,,,,
CERTIFICADO DE OBRA N° 4,ABRIL," $ 4,838,621.11 ",140-1632/24,,,,,3926,SI,El expediente número: 106140000-001632/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 03-06-2024 y hora 01:06 PM,,,,
CERTIFICADO DE REDET. N° 3 - AVANCE BASADO EN CERT. DE OBRA N° 4,ABRIL," $ 7,930,084.11 ",140-1633/24,,,,,3927,SI,El expediente número: 106140000-001633/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 03-06-2024 y hora 01:06 PM,,,,
CERTIFICADO DE OBRA N° 5,MAYO," $ 9,290,446.07 ",140-2037/24,,,,,3991,SI,El expediente número: 106140000-002037/2024 en estado: Recibido se encuentra en la oficina DIRECCION DE ADMINISTRACION Y RECURSOS de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 24-07-2024 y hora 11:07 AM,,,,
