,LICITACION PRIVADA N° 3/25,,,,,,,
,GEC S.A. - CUARTEL DE BOMBEROS FORESTALES - OBRA NUEVA 4TA ETAPA (1328),,,,,,,
,, ITUZAINGO - CORRIENTES,"$ 1,195,481,069.53",DPO,180 DIAS,,,
,,INGRESO A OBRAS PUBLICAS LICITACION,,May-25,140-1076/25,,,
,,CERTIFICADO ANTICIPO FINANCIERO,"$ 358,644,320.86",Jun-25,140-1657/25,,COBRADO,
,27.62%,CERTIFICADO 1,"$ 231,110,400.37",Jun-25,140-1833/25,El expediente número: 106140000-001833/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de UCAPFI dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 10-07-2025 y hora 10:50 AM,,
,94.68%,CERTIFICADO 2,"$ 561,206,533.27",Jul-25,140-2202/25,El expediente número: 106140000-002202/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de UCAPFI dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 18-08-2025 y hora 09:30 AM,,
,100.00%,CERTIFICADO 3,"$ 44,519,715.03",Aug-25,140-2555/25,El expediente número: 106140000-002555/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de UCAPFI dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 19-09-2025 y hora 12:18 PM,,
,,PENDIENTE,"$ 836,836,648.67",,,,,
,,REDETERMINACION DE OBRA N° BASICO ENERO - 2025,"$ 35,515,497.84",Jun-25,140-1999/25,,,
,27.62%,"CERTIFICADO DE REDETERMINACION N° 1, AVANCE BASADO EN EL CERTIFICADO DE OBRA N° 1","$ 9,785,539.84",Jul-25,140-2201/25,El expediente número: 106140000-002201/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de TESORERIA GENERAL dependencia de MINISTERIO DE HACIENDA Y FINANZAS con fecha de pase 10-09-2025 y hora 08:46 AM,,
,94.68%,"CERTIFICADO DE REDETERMINACION N° 2, AVANCE BASADO EN EL CERTIFICADO DE OBRA N° 2","$ 23,761,238.08",Jul-25,140-2203/25,El expediente número: 106140000-002203/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de TESORERIA GENERAL dependencia de MINISTERIO DE HACIENDA Y FINANZAS con fecha de pase 10-09-2025 y hora 08:46 AM,,
,100.00%,"CERTIFICADO DE REDETERMINACION N° 3, AVANCE BASADO EN EL CERTIFICADO DE OBRA N° 3","$ 1,884,968.92",Aug-25,140-2554/25,El expediente número: 106140000-002554/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de TESORERIA GENERAL dependencia de MINISTERIO DE HACIENDA Y FINANZAS con fecha de pase 26-11-2025 y hora 11:17 AM,,
,,,"$ 35,431,746.84",,,,,
,,PENDIENTE,"$ 872,268,395.51",,,,,
,,SALDO,"$ 44,519,815.03",,,,,
