,LICITACION PRIVADA N° 4/25,,,,,,,
,GEC S.A. - CUARTEL DE BOMBEROS FORESTALES - OBRA NUEVA 4TA ETAPA (1326),,,,,,,
,,PASO DE LOS LIBRES - CORRIENTES,"$ 1,211,871,306.21",DPO,180 DIAS,,,
,,INGRESO A OBRAS PUBLICAS LICITACION,,May-25,140-1078/25,,,
,,CERTIFICADO ANTICIPO FINANCIERO,"$ 363,561,391.86",Jun-25,140-1658/25,,COBRADO,
,25.91%,CERTIFICADO 1,"$ 219,797,098.83",Jun-25,140-1834/25,El expediente número: 106140000-001834/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de UCAPFI dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 10-07-2025 y hora 10:50 AM,,
,96.08%,CERTIFICADO 2,"$ 595,259,066.90",Jul-25,140-2199/25,El expediente número: 106140000-002199/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de UCAPFI dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 13-08-2025 y hora 10:54 A,,
,100.00%,CERTIFICADO 3,"$ 33,253,748.62",Aug-25,140-2553/25,El expediente número: 106140000-002553/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de UCAPFI dependencia de MINISTERIO DE OBRAS Y SERVICIOS PUBLICOS con fecha de pase 19-09-2025 y hora 12:18 PM,,
,,TOTAL,"$ 1,211,871,306.21",,,,,
,,SALDO,"$ 33,253,748.62",,,,,
,,REDETERMINACION DE OBRA N° BASICO ENERO - 2025 A MAYO -2025,"$ 35,431,746.84",Jun-25,140-2000/25,,,
,25.91%,"CERTIFICADO DE REDETERMINACION N° 1, AVANCE BASADO EN EL CERTIFICADO DE OBRA N° 1","$ 9,461,165.43",Jul-25,140-2198/25,El expediente número: 106140000-002198/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de TESORERIA GENERAL dependencia de MINISTERIO DE HACIENDA Y FINANZAS con fecha de pase 10-09-2025 y hora 08:46 AM,,
,96.08%,"CERTIFICADO DE REDETERMINACION N° 2, AVANCE BASADO EN EL CERTIFICADO DE OBRA N° 2","$ 25,622,924.87",Jul-25,140-2200/25,El expediente número: 106140000-002200/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de TESORERIA GENERAL dependencia de MINISTERIO DE HACIENDA Y FINANZAS con fecha de pase 26-11-2025 y hora 11:17 AM,,
,100.00%,"CERTIFICADO DE REDETERMINACION N° 3, AVANCE BASADO EN EL CERTIFICADO DE OBRA N° 3","$ 1,431,407.54",Aug-25,140-2552/25,El expediente número: 106140000-002552/2025 en estado: Recibido se encuentra en la oficina MESA DE ENTRADAS de TESORERIA GENERAL dependencia de MINISTERIO DE HACIENDA Y FINANZAS con fecha de pase 26-11-2025 y hora 11:17 AM,,
,,,"$ 36,515,497.84",,,,,
,,PENDIENTE,"$ 35,084,090.30",,,,,
