N° EXP.,BASICO/ NOV 21,N°," CONST. DE 40 VIV. VEREDA MUNICIPAL, ARBOLADO Y 
ALUMBRADO PúBLICO DEL CONJUNTO - LA CRUZ ",100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 724,458,347.58 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
2958/25,CERTIFICADO,ANTICIPO," $ 47,034,018.41 ",Sep-22,SI,,,,,,,,,,
,CERTIFICADO,1," $ 5,486,837.65 ",Oct-22,SI,,,,,,,,,,
,CERTIFICADO,2," $ 11,179,095.45 ",Nov-22,SI,,,,,,,,,,
,CERTIFICADO,3," $ 12,506,039.24 ",Dec-22,SI,,,,,,,,,,
,CERTIFICADO,4," $ 23,833,862.73 ",Jan-23,SI,,,,,,,,,,
3137/25,CERTIFICADO,5," $ 25,233,640.21 ",Feb-23,SI,,,,,,,,,,
3199/25,CERTIFICADO,6," $ 23,077,903.96 ",Mar-23,SI,,,,,,,,,,
3248/25,CERTIFICADO,7," $ 46,650,022.28 ",Apr-23,SI,,,,,,,,,,
3310/25,CERTIFICADO,8," $ 42,131,054.87 ",May-23,SI,,,,,,,,,,
3349/25,CERTIFICADO,9," $ 14,399,689.28 ",Jun-23,SI,,,,,,,,,,
3407/25,CERTIFICADO,10," $ 26,568,520.40 ",Jul-23,SI,,,,,,,,,,
3408/25,CERTIFICADO,AJUST MAY 2023," $ 2,194,778.09 ",Aug-23,SI,,,,,,,,,,
3662/25,CERTIFICADO,AJUSTE SEP 2023," $ 3,709,023.09 ",Dec-23,SI,,,,,,,,,,
3407/25,CERTIFICADO,11," $ 29,982,295.64 ",Sep-23,SI,,,,,,,,,,
3539/25,CERTIFICADO,12," $ 22,468,578.85 ",Oct-23,SI,,,,,,,,,,
3504/25,CERTIFICADO,2-AP," $ 6,358,603.16 ",Sep-23,SI,,,,,,,,,,
3540/25,CERTIFICADO,AJUST 06/2023," $ 1,820,030.06 ",Oct-23,SI,,,,,,,,,,
3661/25,CERTIFICADO,14," $ 32,659,993.31 ",Dec-23,SI,,,,,,,,,,
3722/25,CERTIFICADO,15," $ 15,485,600.06 ",Jan-24,SI,,,,,,,,,,
3745/25,CERTIFICADO,16," $ 16,956,886.91 ",Feb-24,SI,,,,,,,,,,
3841/25,CERTIFICADO,17," $ 9,680,705.85 ",Apr-24,SI,,,,,,,,,,
3777/25,CERTIFICADO,18," $ 9,399,172.29 ",Mar-24,SI,,,,,,,,,,
3883/25,CERTIFICADO,19," $ 10,155,396.04 ",May-24,SI,,,,,,,,,,
3925/25,CERTIFICADO,20," $ 3,791,219.67 ",Jun-24,SI,,,,,,,,,,
4212/25,CERTIFICADO,18," $ 12,750,768.01 ",Dec-24,SI,,,,,,,,,,
,CERTIFICADO,21,$ 0.00,,SI,,,,,,,,,,
,CERTIFICADO,22,$ 0.00,,SI,,,,,,,,,,
,CERTIFICADO,23,$ 0.00,,SI,,,,,,,,,,
,CERTIFICADO,24,$ 0.00,,SI,,,,,,,,,,
,CERTIFICADO,25,$ 0.00,,SI,,,,,,,,,,
,CERTIFICADO,26,$ 0.00,,SI,,,,,,,,,,
4228/25,CERTIFICADO,27," $ 51,177,998.77 ",Jan-25,SI,,,,,,,,,,
1275/25,CERTIFICADO,28," $ 16,236,095.00 ",Jan-25,NO,,,,,,,,,,
1894/25,CERTIFICADO,29," $ 8,365,816.37 ",Feb-25,NO,,,,,,,,,,
3627/25,CERTIFICADO,30," $ 60,015,505.28 ",Mar-25,NO,,,,,,,,,,
5237/25,CERTIFICADO,34," $ 3,315,888.51 ",Jul-25,NO,,,,,,,,,,
,,," $ 594,625,039.44 ",,,,,,,,,,,,
