N° EXP.,BASICO/ ABR 22,N°," CONST. 15 VIV. VEREDA MUNICIPAL ARBOLADO Y 
ALUMBRADO PUB. DEL CONJ. - BONPLAND ",100.00%,COBRADO, MONTO DE CONTRATO 
,,,,,," $ 365,922,987.46 "
CERTIFICADOS DE OBRA,,,,,,
,CERTIFICADO,1," $ 3,983,801.04 ",Mar-23,SI,
,CERTIFICADO,2," $ 20,049,192.08 ",Apr-23,SI,
,CERTIFICADO,3," $ 11,161,983.08 ",May-23,SI,
,CERTIFICADO,4," $ 21,883,728.35 ",Jun-23,SI,
,CERTIFICADO,5," $ 30,620,974.12 ",Jul-23,SI,
,CERTIFICADO,6," $ 25,759,416.78 ",Aug-23,SI,
,CERTIFICADO,7," $ 15,574,801.55 ",Sep-23,SI,
,CERTIFICADO,8," $ 20,755,860.38 ",Oct-23,SI,
,CERTIFICADO,9," $ 19,325,011.59 ",Nov-23,SI,
,CERTIFICADO,10," $ 22,454,095.26 ",Dec-23,SI,
,CERTIFICADO,11," $ 10,852,873.73 ",Jan-24,SI,
,CERTIFICADO,12," $ 6,804,275.36 ",Feb-24,SI,
,CERTIFICADO,13," $ 3,701,071.99 ",Mar-24,SI,
,CERTIFICADO,14," $ 2,834,073.22 ",Apr-24,SI,
,CERTIFICADO,15," $ 1,948,408.93 ",May-24,SI,
,CERTIFICADO,16,$ 0.00,Jun-24,SI,
,CERTIFICADO,17,$ 0.00,Jul-24,SI,
,CERTIFICADO,18,$ 0.00,Aug-24,SI,
,CERTIFICADO,19,$ 0.00,Sep-24,SI,
,CERTIFICADO,20," $ 13,195,754.84 ",Oct-24,SI,
,CERTIFICADO,21," $ 8,280,904.10 ",Nov-24,SI,
,CERTIFICADO,22,$ 0.00,Dec-24,SI,
1265/25,CERTIFICADO,23," $ 2,560,446.60 ",Jan-25,SI,
1869/25,CERTIFICADO,24," $ 55,152,874.30 ",Feb-25,SI,
3628/25,CERTIFICADO,25," $ 44,193,498.00 ",Mar-25,SI,
,CERTIFICADO,26,$ 0.00,Apr-25,,
,CERTIFICADO,27,$ 0.00,May-25,,
,CERTIFICADO,28,$ 0.00,Jun-25,,
5259/25,CERTIFICADO,29," $ 17,708,333.02 ",Jul-25,NO,
,,," $ 358,801,378.32 ",,,
,,," $ 7,121,609.14 ",,,
