N° EXP.,BASICO/ JUN 24,N°," CONST 12 VIV Y O.C. P/CONJ. - GR2 C/PROV E INST DE 
TERMOTANQUE SOLAR - SANTO TOME ",21.32%,COBRADO, MONTO DE CONTRATO 
,,,,,," $ 838,633,288.92 "
CERTIFICADOS DE OBRA,,,,,,
4035/25,ANTICIPO,0," $ 116,817,340.57 ",MAYO,SI,
5423/25,CERTIFICADO,1," $ 151,851,654.77 ",JULIO,SI,
6002/25,CERTIFICADO,2," $ 67,478,520.96 ",AGOSTO,SI,
6641/25,CERTIFICADO,3," $ 25,023,087.72 ",SEPTIEMBRE,SI,
7206/25,CERTIFICADO,4," $ 18,999,820.16 ",OCTUBRE,NO,
7656-2025,CERTIFICADO,5," $ 42,561,198.82 ",NOVIEMBRE,NO,
455-2026,CERTIFICADO,6," $ 33,456,793.01 ",DICIEMBRE,NO,
769-2026,CERTIFICADO,7," $ 13,081,516.61 ",ENERO,NO,
,CERTIFICADO,8," $ 29,701,051.00 ",FEBRERO,NO,
