n;designacionYUbicacion;supDeObraM2;entidadContratante;mesBasicoDeContrato;iniciacion;contratoMasAmpliaciones;certificadoALaFecha;saldoACertificar;segunContrato;prorrogasAcordadas;plazoTotal;plazoTransc;porcentaje
;"CONSTRUCCION DE 40 VIVIENDAS, VEREDA MUNICIPAL, ARBOLADO Y ALUMBRADO PUBLICO DEL CONJUNTO EN LA LOCALIDAD DE LA CRUZ";2400;IN.VI.CO;nov-2021;03/10/2022;724458337.93;724458337.93;0;12;22;34;34;100
;"CONSTRUCCION DE 40 VIVIENDAS, VEREDA MUNICIPAL, ARBOLADO Y ALUMBRADO PUBLICO DEL CONJUNTO EN LA LOCALIDAD DE LA CRUZ - ADENDA";2400;IN.VI.CO;jul-2022;03/05/2023;296022078.55;296022078.55;0;12;18;30;27;100
;"CONSTRUCCION DE 15 VIVIENDAS, VEREDA MUNICIPAL, ARBOLADO Y ALUMBRADO PUBLICO DEL CONJUNTO EN LA LOCALIDAD DE BOMPLAND";990;IN.VI.CO;abr-2022;06/03/2023;365922996.14;365922996.14;0;8;21;29;29;100
;"CONSTRUCCION DE 15 VIVIENDAS, VEREDA MUNICIPAL, ARBOLADO Y ALUMBRADO PUBLICO DEL CONJUNTO EN LA LOCALIDAD DE BOMPLAND - ADENDA";990;IN.VI.CO;jul-2022;06/05/2023;122620529.14;122620529.14;0;8;21;29;27;100
;"CONSTRUCCION DE 12 VIVIENDAS Y OBRAS COMPLEMENTARIAS PROPIAS DEL CONJUNTO, GRUPO 2 - CON PROVISION E INSTALACION DE TERMOTANQUE SOLAR";720;IN.VI.CO;jun-2024;01/07/2025;838633291.45;102816441.53;735816849.92;8;0;8;3;12.26
;"OBRA: CORDON CUNETA, RIPIO Y BADEN + LIMPIEZA Y EJECUCION DE DESAGUE PLUVIAL P/40 VIVIENDAS - LA CRUZ CORRIENTES";;IN.VI.CO;jun-2024;20/01/2025;401529577.80;401529577.80;0;3;5;8;8;100
;"ADICIONAL NRO 1: CORDON CUNETA - RIPIO Y BADEN - LIMP. Y EJEC. DES PLUVIAL P/40 VIV - LA CRUZ";;IN.VI.CO;jun-2024;20/01/2025;44643377.05;44643377.05;0;1;1;0;1;100
;"OBRA: NUEVA COMISARIA - EL CAIMAN - CORRIENTES";183;IN.VI.CO;sep-2024;01/04/2025;368575207.89;287599234.72;80975973.17;10;0;10;6;78.03
;"OBRA: POLIDEPORTIVO PALMAR GRANDE - GRAL PAZ";1190;IN.VI.CO;sep-2024;01/05/2025;436728515.42;436728515.42;0;8;0;8;3;100
;"OBRA: POLIDEPORTIVO PALMAR GRANDE - ADICIONAL NRO 1";;IN.VI.CO;sep-2024;01/05/2025;48643501.02;48643501.02;0;1;0;1;1;100
;"OBRA: RED AGUA + TANQUE - RED DE CLOACA + EST ELEV Y NEXO DE IMP - CORDON CUNETA, RIPIO Y BADEN P/15 VIV";;IN.VI.CO;dic-2024;01/05/2025;629203929.33;561501586.53;67702342.80;4;1;5;4;89.24
;"OBRA: CONSTRUCCION DE TINGLADO PARA DEPOSITO EN ANFITEATRO MARIO DEL TRANSITO COCOMAROLA";200;IN.VI.CO;sep-2024;01/02/2025;316625774.43;289205982.36;27419792.07;3;6;9;8;91.34
;"NUEVO POLIDEPORTIVO - CONCEPCION";;IN.VI.CO;dic-2024;01/05/2025;565642500.64;358391088.41;207251412.23;6;0;6;1;63.36
;"LIC. PRIV. 11/25 - PAVIMENTO URB. - CALLE LOLA MORA - AV. GRAL. ARTIGAS - CALLE CALLAO - B INDEP. Y VILLA ALUSTIZA - MONTE CASEROS";;IN.VI.CO;feb-2025;01/07/2025;1015534628.24;1015534628.24;0;4;0;4;3;100
